Date,Close
21-9-2016,3.01
22-9-2016,2.89
23-9-2016,2.766
26-9-2016,2.777
27-9-2016,2.998
28-9-2016,3.339
29-9-2016,2.899
30-9-2016,2.921
3-10-2016,2.638
4-10-2016,2.383
5-10-2016,2.478
6-10-2016,2.608
7-10-2016,2.626
10-10-2016,2.528
11-10-2016,2.552
12-10-2016,2.69
13-10-2016,2.597
14-10-2016,2.636
17-10-2016,2.627
18-10-2016,2.588
19-10-2016,2.546
20-10-2016,2.649
21-10-2016,2.748
24-10-2016,2.852
25-10-2016,2.88
26-10-2016,2.818
27-10-2016,2.552
28-10-2016,2.561
31-10-2016,2.518
1-11-2016,2.524
2-11-2016,2.443
3-11-2016,2.29
4-11-2016,2.387
7-11-2016,2.29
8-11-2016,2.28
9-11-2016,2.295
10-11-2016,2.343
11-11-2016,2.545
14-11-2016,2.577
15-11-2016,2.525
16-11-2016,2.536
17-11-2016,2.593
18-11-2016,2.91
21-11-2016,2.933
22-11-2016,2.873
23-11-2016,3.019
25-11-2016,2.908
28-11-2016,2.67
29-11-2016,2.712
30-11-2016,2.658
1-12-2016,2.608
2-12-2016,2.62
5-12-2016,2.662
6-12-2016,2.81
7-12-2016,2.758
8-12-2016,2.741
9-12-2016,2.747
12-12-2016,2.936
13-12-2016,2.929
14-12-2016,2.8
15-12-2016,2.952
16-12-2016,2.923
19-12-2016,2.922
20-12-2016,3.11
21-12-2016,3.036
22-12-2016,3.032
23-12-2016,3.015
27-12-2016,2.994
28-12-2016,2.849
29-12-2016,2.838
30-12-2016,2.767
3-1-2017,2.693
4-1-2017,2.71
5-1-2017,2.745
6-1-2017,2.77
9-1-2017,2.844
10-1-2017,2.886
11-1-2017,2.975
12-1-2017,2.937
13-1-2017,2.935
17-1-2017,2.899
18-1-2017,2.901
19-1-2017,2.9
20-1-2017,2.926
23-1-2017,2.979
24-1-2017,2.965
25-1-2017,3.041
26-1-2017,3.078
27-1-2017,3.083
30-1-2017,2.975
31-1-2017,2.966
